street1,street2,city,latt,long,formatted_address
Thurlow St,Dunsmuir St,Vancouver,49.2798502,-123.1105849,"Dunsmuir Viaduct & Dunsmuir St, Vancouver, BC V6B 1X7, Canada"
Nan,Lonsdale Quay,North Vancouver,49.3096326,-123.0835537,"Lonsdale Quay SeaBus Terminal, North Vancouver, BC V7M 3K2, Canada"
Earles St,W 41St Ave,Vancouver,49.2331288,-123.1056583,"W 41st Ave & E 41st Ave, Vancouver, BC V5W 2L5, Canada"
Hastings St,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Steeple Dr,Lansdowne Dr,Coquitlam,49.286629,-122.8148323,"Lansdowne Dr, Coquitlam, BC, Canada"
Wall St,Dundas St,Vancouver,49.2848001,-123.0538708,"Dundas St, Vancouver, BC, Canada"
Vtc Yard,Nan,Vancouver,49.23284899999999,-123.0330096,"3387 Kingsway, Vancouver, BC V5R 5K6, Canada"
Newton Exch,137 St,Surrey,49.134903,-122.842807,"137 St, Surrey, BC V3W, Canada"
E 45Th Ave,Victoria Dr,Vancouver,49.24580839999999,-123.0651929,"Victoria Dr, Vancouver, BC, Canada"
Cardero St,W Pender St,Vancouver,49.28590639999999,-123.1167774,"W Pender St, Vancouver, BC, Canada"
Nan,Dunbar Loop,Vancouver,49.234593,-123.1857501,"Dunbar St @ Dunbar Loop, Vancouver, BC V6N, Canada"
Cambie St,E Broadway,Vancouver,49.26300879999999,-123.104889,"W Broadway & E Broadway, Vancouver, BC V5Y 1P1, Canada"
Edge St,Dewdney Trunk Rd,Maple Ridge,49.2200324,-122.458975,"Dewdney Trunk Rd, British Columbia, Canada"
Mundy St,Austin Ave,Coquitlam,49.2489417,-122.8544444,"Austin Ave, Coquitlam, BC, Canada"
Linton St,Como Lake Ave,Coquitlam,49.2634846,-122.8559887,"Como Lake Ave, Coquitlam, BC V3J, Canada"
Yew St,W Broadway,Vancouver,49.26376459999999,-123.14866,"W Broadway, Vancouver, BC, Canada"
W 72Nd Ave,Oak St,Vancouver,49.2283846,-123.1282674,"Oak St, British Columbia, Canada"
Hastings St,Holdom Ave,Burnaby,49.2733543,-122.9811182,"Holdom Ave, Burnaby, BC V5B, Canada"
Railway Ave,Williams Rd,Richmond,49.1408552,-123.1246592,"Williams Rd, Richmond, BC, Canada"
W 52Nd Ave,Oak St,Vancouver,49.2283846,-123.1282674,"Oak St, British Columbia, Canada"
Nan,Htc,Nan,,,
Sperling Ave,Hastings St,Burnaby,49.281047,-123.008645,"Hastings St, Burnaby, BC, Canada"
Dunsmuir St,Burrard St,Vancouver,49.2759934,-123.1337743,"Burrard St, Vancouver, BC, Canada"
Burnaby Mountain Pky,Gaglardi Way,Burnaby,49.2589203,-122.9109656,"Gaglardi Way, Burnaby, BC, Canada"
W Pender St,Thurlow St,Vancouver,49.2832087,-123.1269759,"Thurlow St, Vancouver, BC, Canada"
Nan,Hwy 99,Delta,49.0952129,-123.0264619,"BC-99, Delta, BC, Canada"
Tyne St,E 49Th Ave,Vancouver,49.2257397,-123.105945,"W 49th Ave & E 49th Ave, Vancouver, BC V5Y 2Z6, Canada"
Jervis St,W Georgia St,Vancouver,49.2857341,-123.1231553,"W Georgia St, Vancouver, BC, Canada"
Fourth Ave,Sixth St,New Westminster,49.2163942,-122.9244118,"6th St, British Columbia, Canada"
W 15Th Ave,Jones Ave,Vancouver,49.3285162,-123.0815172,"Jones Ave, British Columbia, Canada"
Nan,Sfu Exchange,Burnaby,49.2786311,-122.9129661,"SFU Transit Exchange, Burnaby, BC V5A, Canada"
Buswell St,Saba Rd,Richmond,49.1688525,-123.133685,"Saba Rd, Richmond, BC V6Y, Canada"
Agnes St,Sixth St,New Westminster,49.2163942,-122.9244118,"6th St, British Columbia, Canada"
Hwy 17,Ladner Trunk Rd,Delta,49.0899639,-122.9900302,"Ladner Trunk Rd, Delta, BC, Canada"
Waterloo St,E 4Th Ave,Vancouver,49.2673889,-123.104712,"E 4th Ave & W 4th Ave, Vancouver, BC V5Y 1G2, Canada"
Nan,Nan,Nan,49.3280242,-123.1556756,"1454 Marine Dr, West Vancouver, BC V7T 1B7, Canada"
203A St,Logan Ave,Langley,49.1084592,-122.6600278,"Logan Ave, Langley City, BC V3A, Canada"
Buchanan St,Willingdon Ave,Burnaby,49.2504925,-123.00441,"Willingdon Ave, Burnaby, BC, Canada"
Kingsway,W Broadway,Vancouver,49.26376459999999,-123.14866,"W Broadway, Vancouver, BC, Canada"
Beta Ave,Canada Way,Burnaby,49.2421346,-122.9692543,"Canada Way, Burnaby, BC, Canada"
Thurlow St,W Georgia St,Vancouver,49.2857341,-123.1231553,"W Georgia St, Vancouver, BC, Canada"
Gilley Ave,Kingsway,Burnaby,49.2326697,-123.0185233,"Kingsway, British Columbia, Canada"
Mackay Ave,Marine Dr,North Vancouver,49.3221225,-123.0971961,"Marine Dr, North Vancouver, BC, Canada"
Matheson Cres,Se Marine Dr,Burnaby,49.2081793,-123.0232655,"Marine Dr & SE Marine Dr, Burnaby, BC V5J 3A1, Canada"
Nan,Surrey Central Loop,Surrey,49.1893835,-122.8478254,"10309-10321 City Pkwy, Surrey, BC V3T 4Y8, Canada"
Westminster Hwy,No. 3 Rd,Richmond,49.1532687,-123.1366635,"Number 3 Rd, Richmond, BC, Canada"
Bay 2,Joyce Stn,Vancouver,49.2370957,-123.0328071,"5258 Joyce St, Vancouver, BC V5R 6C9, Canada"
W 18 Ave,Dunbar St,Vancouver,49.249012,-123.185207,"Dunbar St, Vancouver, BC, Canada"
Dunsmuir St,Granville St,Vancouver,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Hawks Ave,W Hastings St,Vancouver,49.2868523,-123.1162812,"W Hastings St, Vancouver, BC, Canada"
Windsor St,Lonsdale Ave,North Vancouver,49.32312289999999,-123.0723529,"Lonsdale Ave, North Vancouver, BC, Canada"
Ladner Trunk Rd,80 Ave,Delta,49.1483885,-122.8790635,"80 Ave, British Columbia, Canada"
